product_name,manufacturer,root_category,category,product_rating,product_price,review_rating,review_title,review_text,reviewer_name
"36 in. 25.6 cu. ft. Side by Side Refrigerator in Stainless Steel, Standard Depth",Frigidaire,Appliances,Side by Side Refrigerators,4.4,1098.0,5,Blessed,[This review was collected as part of a promotion.] Love my refrigerator! So spacious!,Yon███94
"36 in. 25.6 cu. ft. Side by Side Refrigerator in Stainless Steel, Standard Depth",Frigidaire,Appliances,Side by Side Refrigerators,4.4,1098.0,5,We love our Frigidaire,[This review was collected as part of a promotion.] We love the Frigidaire products. When we had our first home built thirtyfour years ago when our son was born we bought the Frigidaire side by side model Refrigerator and Dishwasher because we loved the style and beauty of them and they were a trusted brand.  Well we were right that combo lasted us thirtyfour years they were still working and looking brand new when we sold that first home and downsized. When we bought our second home we had to buy the same combo Frigidaire side by side model Refrigerator and Dishwasher because we knew and loved the quality and longevity of Frigidaire brand now we will make another lifetime of memories with our new Frigidaire products.,dtr███z66███
"36 in. 25.6 cu. ft. Side by Side Refrigerator in Stainless Steel, Standard Depth",Frigidaire,Appliances,Side by Side Refrigerators,4.4,1098.0,3,Frigidaire fridge,[This review was collected as part of a promotion.] Love my black fridge the only thing is that in the summer the ice would finish super fast during mid day because we gave our pups some ice cubes n also we use ice!,84e███os
26 cu. ft. Smart Counter-Depth MAX French Door Refrigerator with Dual Ice Makers in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.3,1999.0,5,Roomy,Nice looking product. Very quiet and has lots of space inside,Tfly
26 cu. ft. Smart Counter-Depth MAX French Door Refrigerator with Dual Ice Makers in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.3,1999.0,5,Dual ice makers a plus,"[This review was collected as part of a promotion.] Purchased this refrigerator a month ago.  So far it has been perfect.  Good features, plenty of ice from the dual makers, lots of storage space.",Sco███01
26 cu. ft. Smart Counter-Depth MAX French Door Refrigerator with Dual Ice Makers in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.3,1999.0,5,Spacious counter depth fridge,"I had to replace my refrigerator because of too many issues with the ice maker and water dispencer.  To my surprise, the LG is a more spacious counter depth refrigerator compare to my previous one.  This refrigerator has excellent review as per store where I purchased and I agree with their reviews.  It is definitely a great brand to have because I can rely on it.  Thank you!",Fer███
26 cu. ft. Smart Counter-Depth MAX French Door Refrigerator with Dual Ice Makers in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.3,1999.0,5,Super Fridge,So far so good.  Love the dual ice makers.  Plenty of storage. Had Frigidaire Gallery in my last house and this is far superior. Not sure what else you could ask for.,Vio███ 12███
26 cu. ft. Smart Counter-Depth MAX French Door Refrigerator with Dual Ice Makers in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.3,1999.0,5,Get this fridge,[This review was collected as part of a promotion.] This has to be the best fridge I have ever bought.,Din███
26 cu. ft. Smart Counter-Depth MAX French Door Refrigerator with Dual Ice Makers in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.3,1999.0,4,"Good product, cheap plastic on inside of fridge ra","[This review was collected as part of a promotion.] I am happy with the refrigerator, but the drawers in the plastic items inside it I believe are made very cheap. Would have like something a little more stronger to hold up against crack in the plastic.",Ano███ous███
26 cu. ft. Smart Counter-Depth MAX French Door Refrigerator with Dual Ice Makers in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.3,1999.0,5,Glad I made the right choice!,"I bought this fridge for my office. After making a few adjustments, the fridge is wonderful. I love the app as well. The control I have when away from it is great. The dual ice makers are a must for a large office of water drinkers.I would 100% purchase again.",tfe███81
